i waited for 10 - 15 minutes for service ordered a beer & was never served again .	8,9 SERVICE#GENERAL 1 -1,-1			
the food was ok , but the service was so poor that the food was cold buy the time everyone in my party was served .	1,2 FOOD#QUALITY 1 3,4	7,8 SERVICE#GENERAL 0 10,11		
avoid the place	2,3 RESTAURANT#GENERAL 0 0,1			
when i got there i sat up stairs where the atmosphere was cozy & the service was horrible !	10,11 AMBIENCE#GENERAL 2 12,13	15,16 SERVICE#GENERAL 0 17,18		
we left without ever getting service .	5,6 SERVICE#GENERAL 0 -1,-1			
best crab cakes in town	1,3 FOOD#QUALITY 2 0,1			
– thats a big statement considering i ' ve been pulling crab traps and making the cakes myself since i was about seven - but something about these little devils gets better every time .	16,17 FOOD#QUALITY 2 31,32			
if you can , come to this place by boat and make it a whole evening .	7,8 RESTAURANT#MISCELLANEOUS 2 -1,-1			
great seasonal fish and seafood , with a classy waterfront setting .	1,3 FOOD#QUALITY 2 0,1	4,5 FOOD#QUALITY 2 0,1	9,11 AMBIENCE#GENERAL 2 8,9	
great pizza , poor service	1,2 FOOD#QUALITY 2 0,1	4,5 SERVICE#GENERAL 0 3,4		
– love their pizza , especially the mushroom pizza .	3,4 FOOD#QUALITY 2 1,2	7,9 FOOD#QUALITY 2 1,2		
also love their caeser salad .	3,5 FOOD#QUALITY 2 1,2			
prefer to order it and pick it up though because i do n ' t like the servers , one young woman in particular .	17,18 SERVICE#GENERAL 0 12,16	20,22 SERVICE#GENERAL 0 12,16		
– this place is famous for their breakfast .	7,8 FOOD#QUALITY 2 4,5			
many people talk about the great pizza and poor service , so it ca n ' t just be the rantings of a few dissatisfied customers .	6,7 FOOD#QUALITY 2 5,6	9,10 SERVICE#GENERAL 0 8,9		
it ' s a great little place with tons of potential to be a neighborhood joint if the service were n ' t so impersonal and corporate - like .	6,7 RESTAURANT#GENERAL 2 4,6	18,19 SERVICE#GENERAL 0 20,25		
great breakfast	1,2 FOOD#QUALITY 2 0,1			
the food is great and they make a mean bloody mary .	1,2 FOOD#QUALITY 2 3,4	9,11 DRINKS#QUALITY 2 8,9		
i love breakfast here .	2,3 FOOD#QUALITY 2 1,2			
their crab eggs benedict is addicting .	1,4 FOOD#QUALITY 2 5,6			
all their menu items are a hit , and they serve mimosas .	2,4 FOOD#QUALITY 2 6,7	-1,-1 DRINKS#STYLE_OPTIONS 2 6,7		
best chinese food i have tasted in a long time	1,3 FOOD#QUALITY 2 0,1			
the ambiance of the restaurant was nice and good for fine dinning .	1,2 AMBIENCE#GENERAL 2 6,7	1,2 AMBIENCE#GENERAL 2 8,9		
the staff was very nice and courteous and obviously chinese .	1,2 SERVICE#GENERAL 2 4,5	1,2 SERVICE#GENERAL 2 6,7		
so about the prawns , they were fresh and had a slight crispiness about the batter . . . soooo good . . . the walnuts were cut in smaller pieces and very crunchy and tasty .	3,4 FOOD#QUALITY 2 7,8	15,16 FOOD#QUALITY 2 12,13	25,26 FOOD#QUALITY 2 33,34	25,26 FOOD#QUALITY 2 35,36
best honey walnyt prawns that we have every tasted .	1,4 FOOD#QUALITY 2 0,1			
the brocollis were so fresh and tasty .	1,2 FOOD#QUALITY 2 4,5	1,2 FOOD#QUALITY 2 6,7		
chintzy portions	1,2 FOOD#STYLE_OPTIONS 0 0,1			
– the sushi here is perfectly good , but for $ 5 a piece , either the slices of fish should be larger , or there should be no pretense that this is a moderately priced restaurant ( even for nyc ) .	2,3 FOOD#QUALITY 0 6,7	2,3 FOOD#STYLE_OPTIONS 0 -1,-1	2,3 FOOD#PRICES 0 -1,-1	36,37 RESTAURANT#PRICES 0 34,36
terrible service , food ok , pricey	1,2 SERVICE#GENERAL 0 0,1	3,4 FOOD#QUALITY 1 4,5	-1,-1 RESTAURANT#PRICES 0 6,7	
food wise , its ok but a bit pricey for what you get considering the restaurant is n ' t a fancy place .	0,1 FOOD#QUALITY 1 4,5	0,1 FOOD#PRICES 0 8,9	15,16 AMBIENCE#GENERAL 1 17,22	
if i needed to name some they would include the location to the beach or golden gate park .	10,11 LOCATION#GENERAL 0 -1,-1			
another plus is the open feel of the restaurant with glass walls on all sides .	5,6 AMBIENCE#GENERAL 2 1,2			
amazing spanish mackeral special appetizer and perfect box sushi ( that eel with avodcao - - um um um ) .	1,5 FOOD#QUALITY 2 0,1	7,9 FOOD#QUALITY 2 6,7	10,13 FOOD#QUALITY 2 -1,-1	
as usual the omikase did n ' t disappoint in freshness , although it scored low on creativity and selection .	3,4 FOOD#QUALITY 2 5,9	3,4 FOOD#STYLE_OPTIONS 0 -1,-1		
their specialty rolls are impressive , though i ca n ' t remember what we had .	1,3 FOOD#QUALITY 2 4,5			
green tea creme brulee gets better each time i have it .	0,4 FOOD#QUALITY 2 5,6			
great selection of sakes .	1,4 DRINKS#STYLE_OPTIONS 2 0,1			
it is n ' t the cheapest sushi but has been worth it every time .	7,8 FOOD#PRICES 1 2,7	7,8 FOOD#QUALITY 2 11,12		
very poor customer service .	2,4 SERVICE#GENERAL 0 1,2			
– schooner or later ' s charming location along the marina in long beach and average food does not , unfortunately , compensate for its very poor customer service .	7,14 LOCATION#GENERAL 2 6,7	16,17 FOOD#QUALITY 1 15,16	27,29 SERVICE#GENERAL 0 26,27	
while this diner had reasonably good food , the restaurant staff seemed completely indifferent to our presence , and this attitude was reflected in the lack of service .	6,7 FOOD#QUALITY 2 5,6	9,11 SERVICE#GENERAL 0 13,14		
the fish was fresh , though it was cut very thin .	1,2 FOOD#QUALITY 2 3,4	1,2 FOOD#QUALITY 0 10,11		
great service .	1,2 SERVICE#GENERAL 2 0,1			
good sake selection .	1,3 DRINKS#STYLE_OPTIONS 2 0,1			
dungeness crabs here !	0,2 FOOD#QUALITY 2 -1,-1			
– ray ' s is the place to go for high quality seafood dinners .	12,14 FOOD#QUALITY 2 10,12			
i love dungeness crabs and at ray ' s you can get them served in about 6 different ways !	2,4 FOOD#STYLE_OPTIONS 2 1,2			
we shared the family platter and i especially enjoyed the black cod in sake kasu .	10,15 FOOD#QUALITY 2 8,9			
i ended the meal with the unusual dessert of a port and chocolate tasting . . . . yummy !	7,14 FOOD#QUALITY 2 6,7	7,14 FOOD#QUALITY 2 18,19		
and the service was simply spendid - quite a delight .	2,3 SERVICE#GENERAL 2 5,6	2,3 SERVICE#GENERAL 2 9,10		
the service is fantastic at this fun place .	1,2 SERVICE#GENERAL 2 3,4	7,8 RESTAURANT#GENERAL 2 6,7		
if there is a line very day of the week for the entire time a place is open , you know it is great .	15,16 RESTAURANT#GENERAL 2 23,24			
best neighborhood standby .	2,3 RESTAURANT#GENERAL 2 0,1			
in grammercy / union square / east village this is my neighbors and my favorite spot .	15,16 RESTAURANT#GENERAL 2 14,15			
the music is great , no night better or worse , the bar tenders are generous with the pouring , and the lighthearted atmosphere will lifts you spirits .	1,2 AMBIENCE#GENERAL 2 3,4	12,14 DRINKS#STYLE_OPTIONS 2 15,16	23,24 AMBIENCE#GENERAL 2 22,23	
oh , and the cheese fries are awesome !	4,6 FOOD#QUALITY 2 7,8			
good food , great service , average prices ( for the strip )	1,2 FOOD#QUALITY 2 0,1	4,5 SERVICE#GENERAL 2 3,4	-1,-1 RESTAURANT#PRICES 1 6,7	
when i walked in , i was taken aback by their incredible wood decor .	12,14 AMBIENCE#GENERAL 2 11,12			
the music playing was very hip , 20 - 30 something pop music , but the subwoofer to the sound system was located under my seat , which became annoying midway through dinner .	1,2 AMBIENCE#GENERAL 2 4,5	16,21 AMBIENCE#GENERAL 0 29,30		
i got the shellfish and shrimp appetizer and it was alright .	3,7 FOOD#QUALITY 1 10,11			
it was n ' t the freshest seafood ever , but the taste and presentation was ok .	7,8 FOOD#STYLE_OPTIONS 1 16,17	7,8 FOOD#QUALITY 1 16,17		
i picked the asparagus , which turned out to be incredible and perfectly prepared .	3,4 FOOD#QUALITY 2 10,11	3,4 FOOD#QUALITY 2 12,14		
the 9 oz steak came next and it tasted great , at least initially .	1,4 FOOD#QUALITY 2 9,10			
the steak was done to my exact liking ( medium rare ) and was nice and juicy .	1,2 FOOD#QUALITY 2 14,15	1,2 FOOD#QUALITY 2 16,17		
it ? s served with either a peppercorn sauce or red wine reduction , though both were indistinguishable in taste .	10,13 FOOD#QUALITY 1 17,18	7,9 FOOD#QUALITY 1 17,18		
though , one thing i realized later on was that the restaurant either used msg or a meat tenderizer on the steak .	21,22 FOOD#QUALITY 0 -1,-1			
the desert was the perfect ending to an almost perfect dinner .	1,2 FOOD#QUALITY 2 4,5	10,11 FOOD#QUALITY 2 9,10		
overall , i would go back and eat at the restaurant again .	10,11 RESTAURANT#GENERAL 2 -1,-1			
but the servers were extremely attentive and very friendly .	2,3 SERVICE#GENERAL 2 5,6	2,3 SERVICE#GENERAL 2 8,9		
good sake , good food – i honestly do n ' t know much about japanese food at all .	1,2 DRINKS#QUALITY 2 0,1	4,5 FOOD#QUALITY 2 3,4		
server made several sake suggestions which were very good .	3,4 DRINKS#QUALITY 2 8,9	0,1 SERVICE#GENERAL 2 8,9		
had many dishes but the best was the lobster 3 ways .	8,11 FOOD#QUALITY 2 5,6			
the waiter was a bit unfriendly and the feel of the restaurant was crowded .	1,2 SERVICE#GENERAL 0 5,6	8,9 AMBIENCE#GENERAL 0 13,14		
also , there was only one bathroom stall - probably need more for such big crowds .	6,8 RESTAURANT#MISCELLANEOUS 2 -1,-1			
most importantly , we were so excited about the food after seeing the very creative menu .	15,16 FOOD#STYLE_OPTIONS 2 14,15			
at best , the food was good and definately overpriced .	4,5 FOOD#QUALITY 2 6,7	4,5 FOOD#QUALITY 0 9,10		
for the amount of food we got the prices should have been lower .	4,5 FOOD#PRICES 0 -1,-1	4,5 FOOD#STYLE_OPTIONS 0 -1,-1		
my favortie pizza joint in seattle	2,4 RESTAURANT#GENERAL 2 1,2			
– this is my ` ` must bring out of town guests to ' ' restaurant and they always enjoy and rave about it .	15,16 RESTAURANT#GENERAL 2 19,20	15,16 RESTAURANT#GENERAL 2 21,22		
the pizza is delicious and the salads are fantastic .	1,2 FOOD#QUALITY 2 3,4	6,7 FOOD#QUALITY 2 8,9		
i ' ve always found the wait staff and , if you sit at the bar , the cooks very friendly .	6,8 SERVICE#GENERAL 2 20,21	18,19 SERVICE#GENERAL 2 20,21		
i also really enjoy the simplicity of the decor and intimate feeling of a small restaurant .	8,9 AMBIENCE#GENERAL 2 3,4	8,9 AMBIENCE#GENERAL 2 5,6	11,12 AMBIENCE#GENERAL 2 10,11	
– my husband and i love eating at mioposto cafe .	8,10 RESTAURANT#GENERAL 2 5,6			
we ' re ca n ' t say enough about their delicious gourmet pizza ’ s !	11,12 FOOD#QUALITY 2 13,16			
you won ’ t be disappointed by their menu .	8,9 FOOD#STYLE_OPTIONS 2 2,6			
the pizza ' s are thin crust and the menu offers very creative combinations and toppings .	1,4 FOOD#STYLE_OPTIONS 2 5,6	9,10 FOOD#STYLE_OPTIONS 2 12,13		
try the pizza ensalata !	2,4 FOOD#QUALITY 2 0,1			
the pizza ' s are not huge and the crust is thin … keep that in mind when you ’ re ordering .	1,4 FOOD#STYLE_OPTIONS 2 5,7	9,10 FOOD#STYLE_OPTIONS 2 11,12		
the food is sinful .	1,2 FOOD#QUALITY 2 3,4			
the staff was really friendly .	1,2 SERVICE#GENERAL 2 4,5			
the atmosphere was great .	1,2 AMBIENCE#GENERAL 2 3,4			
the specialty here is decadent pancakes , but i ' ve been back now four times , and i ' ve been wowed every time .	5,6 FOOD#QUALITY 2 4,5			
nothing on the menu is less than amazing .	3,4 FOOD#QUALITY 2 7,8			
good eats .	1,2 FOOD#QUALITY 2 0,1			
i have been to this place , folks and it is bad .	5,6 RESTAURANT#GENERAL 0 11,12			
maybe it is good for that one night once in a blue moon when the chefs decide to use fish that ' s half - way decent .	19,20 FOOD#QUALITY 0 26,27			
i have been here , spent tons of money on a chef special dinner and it was a major dissappointment .	11,14 FOOD#QUALITY 0 19,20	11,14 FOOD#PRICES 0 19,20		
– the atmosphere is great for any special occasion you might want to celebrate .	2,3 AMBIENCE#GENERAL 2 4,5			
the best dish are the honwy walnut prawns - just outstanding .	5,8 FOOD#QUALITY 2 10,11	5,8 FOOD#QUALITY 2 1,2		
fancy pieces of exotic fish on a $ 100 dollar plate and not one was eatable .	3,5 FOOD#QUALITY 0 -1,-1	3,5 FOOD#STYLE_OPTIONS 0 0,1	10,11 FOOD#PRICES 0 -1,-1	
the service is really attentive and charming .	1,2 SERVICE#GENERAL 2 4,5	1,2 SERVICE#GENERAL 2 6,7		
the service was excellent , the coffee was good even by starbucks standards and the food was outstanding .	1,2 SERVICE#GENERAL 2 3,4	6,7 DRINKS#QUALITY 2 8,9	15,16 FOOD#QUALITY 2 17,18	
– i recently had the pleasure of dining as this delightful restaurant on 2nd street and wow what a great evening we had .	11,12 RESTAURANT#GENERAL 2 10,11			
the food is fantastic , authentic , delicious and very , very affordable .	1,2 FOOD#QUALITY 2 3,4	1,2 FOOD#QUALITY 2 5,6	1,2 FOOD#QUALITY 2 7,8	1,2 FOOD#PRICES 2 12,13
the decor was beautiful and unique .	1,2 AMBIENCE#GENERAL 2 3,4	1,2 AMBIENCE#GENERAL 2 5,6		
there was a really nice vibe about the place . . . good music , atmosphere and happy looking people .	13,14 AMBIENCE#GENERAL 2 12,13	15,16 AMBIENCE#GENERAL 2 12,13	5,6 AMBIENCE#GENERAL 2 4,5	19,20 RESTAURANT#MISCELLANEOUS 2 17,18
our server was very professional and friendly .	1,2 SERVICE#GENERAL 2 4,5	1,2 SERVICE#GENERAL 2 6,7		
to the owners of open sesame . . . bravo . . . i ca n ' t wait to come back to dine at your restaurant !	4,6 RESTAURANT#GENERAL 2 -1,-1			
it ' s a tiny place so if you get there before 8pm on a weekend ( thurs ? sun ) you will find it easier to get a table or a seat at the sushi bar .	5,6 RESTAURANT#MISCELLANEOUS 1 4,5			
everything , and i mean everything on the menu is delectable .	8,9 FOOD#QUALITY 2 10,11			
the waiters are very experienced and helpful with pairing your drink choice to your food tastes or vice versa .	1,2 SERVICE#GENERAL 2 4,5	1,2 SERVICE#GENERAL 2 6,7		
the sushi is as fresh as it comes ? you ' d think ocean was in their backyard , no joke !	1,2 FOOD#QUALITY 2 4,5			
if you ' re interested in good tasting ( without the fish taste or smell ) , large portions and creative sushi dishes this is your place . . .	18,19 FOOD#STYLE_OPTIONS 2 17,18	21,23 FOOD#STYLE_OPTIONS 2 20,21	-1,-1 FOOD#QUALITY 2 6,7	
big thick pepperoni	2,3 FOOD#STYLE_OPTIONS 2 0,1	2,3 FOOD#STYLE_OPTIONS 2 1,2		
– the pepperoni ' s cut real thick - - yum .	2,5 FOOD#STYLE_OPTIONS 2 7,8	2,5 FOOD#STYLE_OPTIONS 2 10,11		
the pizza itself is not exactly the best i ' ve had ever , but still pretty good .	1,2 FOOD#QUALITY 2 17,18			
food was good and appetizing .	0,1 FOOD#QUALITY 2 2,3	0,1 FOOD#QUALITY 2 4,5		
portions was just enough for me , but may not be for a big eater .	0,1 FOOD#STYLE_OPTIONS 1 3,4			
fair menu selection .	1,3 FOOD#STYLE_OPTIONS 1 0,1			
the appetizer was interesting , but the creme brulee was very savory and delicious .	1,2 FOOD#QUALITY 2 3,4	7,9 FOOD#QUALITY 2 11,12	7,9 FOOD#QUALITY 2 13,14	
indoor ambience was modern .	0,2 AMBIENCE#GENERAL 2 3,4			
if it ' s nice outside , request for a table in the balcony .	13,14 AMBIENCE#GENERAL 2 4,5			
it ' s a great place to people watch .	5,6 RESTAURANT#MISCELLANEOUS 2 4,5			
late night dinning with exeptional food .	5,6 FOOD#QUALITY 2 4,5			
we were seated right away , the table was private and nice .	7,8 AMBIENCE#GENERAL 2 9,10	7,8 AMBIENCE#GENERAL 2 11,12	-1,-1 SERVICE#GENERAL 2 -1,-1	
the service was exceptional - sometime there was a feeling that we were served by the army of friendly waiters .	1,2 SERVICE#GENERAL 2 3,4	19,20 SERVICE#GENERAL 2 18,19		
the food was very good , filet mignon was probably the best i ' ve ever try .	1,2 FOOD#QUALITY 2 4,5	6,8 FOOD#QUALITY 2 11,12		
the portions are big though , so do not order too much .	1,2 FOOD#STYLE_OPTIONS 1 3,4			
groovy music made the dinner casual .	1,2 AMBIENCE#GENERAL 2 5,6			
i have a but here - there was a bathroom attendant in the restroom which was odd .	13,14 RESTAURANT#MISCELLANEOUS 0 16,17			
the bathroom itself is very small with two toilets and only one sink , the girl was staying totally on the way hanging out paper towels from the dispenser .	1,2 RESTAURANT#MISCELLANEOUS 0 5,6			
– mercedes restaurant is so tasty , the service is undeniably awesome !	8,9 SERVICE#GENERAL 2 11,12	-1,-1 FOOD#QUALITY 2 5,6		
the catering is out of this world , and raouls chicken vegetable soup rocks my world ! ! !	9,13 FOOD#QUALITY 2 13,14	1,2 FOOD#QUALITY 2 3,7		
drinks are suberb , and i feel like i am in a third world country when i walk in the door .	0,1 DRINKS#QUALITY 2 2,3	-1,-1 AMBIENCE#GENERAL 2 -1,-1		
the presentation of snooze is excellent and it is one of those places that you feel more sophisticated just for being there ; but peel back the layers and you have an overpriced ihop with a high brow menu .	3,4 AMBIENCE#GENERAL 0 5,6	3,4 RESTAURANT#PRICES 0 32,33	38,39 FOOD#STYLE_OPTIONS 0 36,38	
to start off , approximately 8 - 10 oz of orange juice will cost you $ 3 .	10,12 DRINKS#PRICES 0 -1,-1			
they serve it in a tall , skinny hour - glass shaped glass to disguise the fact that you a getting a small juice at the price of a half gallon in a supermarket .	23,24 DRINKS#STYLE_OPTIONS 0 22,23	23,24 DRINKS#PRICES 0 22,23		
i should have just asked for the check when i saw that ; but their menu was so unique that i continued .	15,16 FOOD#STYLE_OPTIONS 2 18,19			
the pancakes were certainly inventive but $ 8 . 50 for 3 - 6 ' ' pancakes ( one of them was more like 5 ' ' ) in the pancake flight ( sample of 3 different pancakes ) is well over - priced .	1,2 FOOD#STYLE_OPTIONS 2 4,5	1,2 FOOD#PRICES 0 41,44		
the pancakes should be larger ( at least 8 ' ' ) to justify the expense even with the unique offerings .	1,2 FOOD#STYLE_OPTIONS 0 -1,-1	1,2 FOOD#PRICES 0 -1,-1		
on my meal i had to send back my eggs for a simple request of breaking the yokes before cooking , and would have had to send them back again if i had n ' t rejected the meal all together .	9,10 FOOD#QUALITY 0 -1,-1	2,3 FOOD#QUALITY 0 -1,-1		
i rejected it because in the process of attempting to fix the eggs they broke something else in the dish and i was too frustrated to continue .	19,20 FOOD#QUALITY 0 24,25			
much more than just a great view !	6,7 LOCATION#GENERAL 2 5,6	-1,-1 RESTAURANT#GENERAL 2 5,6		
– i am exceedingly pleased to report that my dinner at ray ' s boathouse last friday completely exceeded my expectations .	11,15 RESTAURANT#GENERAL 2 4,5			
ray ' s is something of a seattle institution , but given its gorgeous sound views , i had suspected that the accolades were more due to the scenery than to the food and service .	14,16 LOCATION#GENERAL 2 13,14			
imagine my happy surprise upon finding that the views are only the third - best thing about ray ' s !	8,9 LOCATION#GENERAL 2 12,15	17,20 RESTAURANT#GENERAL 2 2,3		
to start things off , our lovely server brooke was quickly on hand to take my drink order .	8,9 SERVICE#GENERAL 2 6,7	8,9 SERVICE#GENERAL 2 10,11		
my party of two was feeling particularly ambitious , and we splurged on the shilshole sampler . . . a beautiful assortment of enormous white gulf prawns , smoked albacore tuna , ray ' s fantastic manila clams seasoned with dill , scallops in a tasty soy dressing , and a tiny pile of dungeness crab atop a sublime butter sauce .	24,27 FOOD#STYLE_OPTIONS 2 23,24	36,38 FOOD#QUALITY 2 35,36	46,48 FOOD#QUALITY 2 45,46	59,61 FOOD#QUALITY 2 58,59
